Index,Scenario,Ordering
410,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'white_car_straight', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'green'], ['white']]"
411,"{'right': 'empty', 'down': 'white_car_straight', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['white', 'red']]"
412,"{'right': 'empty', 'down': 'empty', 'left': 'white_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['white']]"
413,"{'right': 'red_car_turn_right', 'down': 'white_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'none_no'}","[['red', 'crosswalk'], ['white']]"
414,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red'], ['white']]"
415,"{'right': 'white_car_turn_left', 'down': 'red_car_straight', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['red'], ['white']]"
416,"{'right': 'empty', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['white', 'crosswalk']]"
417,"{'right': 'green_car_turn_right', 'down': 'empty', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['green', 'red']]"
418,"{'right': 'empty', 'down': 'crosswalk', 'left': 'green_car_straight', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'green']]"
419,"{'right': 'red_car_turn_right', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'green_car_turn_left', 'priority_ruling': 'none_no'}","[['white', 'red'], ['green']]"
420,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'green_car_straight', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'green'], ['white']]"
421,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['white'], ['green']]"
422,"{'right': 'crosswalk', 'down': 'red_car_turn_right', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red'], ['white']]"
423,"{'right': 'red_car_turn_left', 'down': 'white_car_turn_right', 'left': 'green_car_straight', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['white', 'crosswalk'], ['green'], ['red']]"
424,"{'right': 'white_car_turn_right', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'none_no'}","[['white', 'red']]"
425,"{'right': 'green_car_turn_right', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['green', 'white']]"
426,"{'right': 'white_car_straight', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'none_no'}","[['white', 'green']]"
427,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'white_car_straight', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['white']]"
428,"{'right': 'green_car_turn_left', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['green', 'red'], ['white']]"
429,"{'right': 'red_car_turn_right', 'down': 'crosswalk', 'left': 'green_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['red', 'crosswalk'], ['green']]"
430,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'white_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['green', 'white']]"
431,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'crosswalk', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['red', 'crosswalk'], ['white']]"
432,"{'right': 'green_car_straight', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['green', 'red', 'crosswalk']]"
433,"{'right': 'empty', 'down': 'crosswalk', 'left': 'white_car_straight', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'white']]"
434,"{'right': 'green_car_turn_right', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['green', 'red']]"
435,"{'right': 'green_car_turn_left', 'down': 'red_car_straight', 'left': 'crosswalk', 'up': 'white_car_straight', 'priority_ruling': 'none_no'}","[['white', 'crosswalk'], ['green'], ['red']]"
436,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'green_car_straight', 'up': 'white_car_turn_right', 'priority_ruling': 'none_no'}","[['red', 'green', 'white']]"
437,"{'right': 'crosswalk', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'green_car_straight', 'priority_ruling': 'triangles_horizontal'}","[['green', 'crosswalk'], ['white']]"
438,"{'right': 'empty', 'down': 'empty', 'left': 'red_car_turn_right', 'up': 'green_car_straight', 'priority_ruling': 'none_no'}","[['red'], ['green']]"
439,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'green_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['white', 'green', 'crosswalk']]"
440,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_straight', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['white'], ['red']]"
441,"{'right': 'crosswalk', 'down': 'empty', 'left': 'green_car_turn_right', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'green', 'red']]"
442,"{'right': 'green_car_turn_left', 'down': 'empty', 'left': 'white_car_turn_left', 'up': 'red_car_turn_left', 'priority_ruling': 'none_no'}","[['white'], ['red'], ['green']]"
443,"{'right': 'red_car_turn_right', 'down': 'white_car_straight', 'left': 'empty', 'up': 'green_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['white', 'green'], ['red']]"
444,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['green', 'red']]"
445,"{'right': 'red_car_straight', 'down': 'crosswalk', 'left': 'empty', 'up': 'white_car_turn_right', 'priority_ruling': 'none_no'}","[['white', 'crosswalk'], ['red']]"
446,"{'right': 'crosswalk', 'down': 'white_car_turn_right', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'green'], ['white']]"
447,"{'right': 'empty', 'down': 'white_car_turn_right', 'left': 'crosswalk', 'up': 'red_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'white'], ['red']]"
448,"{'right': 'white_car_turn_left', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['white', 'green', 'crosswalk']]"
449,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'green_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['green', 'crosswalk'], ['red']]"
450,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk'], ['red']]"
451,"{'right': 'empty', 'down': 'red_car_turn_right', 'left': 'green_car_straight', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['green', 'crosswalk'], ['red']]"
452,"{'right': 'green_car_turn_left', 'down': 'empty', 'left': 'crosswalk', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['white', 'crosswalk'], ['green']]"
453,"{'right': 'green_car_turn_right', 'down': 'crosswalk', 'left': 'white_car_turn_right', 'up': 'red_car_turn_left', 'priority_ruling': 'none_no'}","[['crosswalk', 'green'], ['white'], ['red']]"
454,"{'right': 'empty', 'down': 'empty', 'left': 'white_car_turn_left', 'up': 'green_car_turn_right', 'priority_ruling': 'none_no'}","[['white', 'green']]"
455,"{'right': 'green_car_turn_right', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red'], ['green']]"
456,"{'right': 'crosswalk', 'down': 'red_car_straight', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red'], ['white']]"
457,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['crosswalk'], ['green']]"
458,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['green', 'crosswalk']]"
459,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'crosswalk', 'up': 'red_car_straight', 'priority_ruling': 'none_no'}","[['green', 'crosswalk', 'red']]"
460,"{'right': 'white_car_turn_left', 'down': 'empty', 'left': 'green_car_turn_right', 'up': 'red_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['green'], ['white'], ['red']]"
461,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'green_car_straight', 'priority_ruling': 'none_no'}","[['crosswalk'], ['green']]"
462,"{'right': 'empty', 'down': 'empty', 'left': 'crosswalk', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'red']]"
463,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'white']]"
464,"{'right': 'red_car_turn_left', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['red', 'crosswalk'], ['white']]"
465,"{'right': 'crosswalk', 'down': 'empty', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'green']]"
466,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'empty', 'up': 'red_car_straight', 'priority_ruling': 'none_no'}","[['crosswalk', 'green', 'red']]"
467,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'crosswalk', 'up': 'red_car_turn_right', 'priority_ruling': 'none_no'}","[['crosswalk'], ['red'], ['green']]"
468,"{'right': 'white_car_turn_right', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['white', 'crosswalk', 'red']]"
469,"{'right': 'white_car_turn_right', 'down': 'empty', 'left': 'crosswalk', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['white', 'crosswalk', 'red']]"
470,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'green_car_straight', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['red', 'green']]"
471,"{'right': 'red_car_turn_right', 'down': 'green_car_turn_right', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['red', 'green'], ['white']]"
472,"{'right': 'green_car_turn_right', 'down': 'red_car_straight', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['green'], ['red']]"
473,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'red_car_turn_right', 'up': 'white_car_turn_left', 'priority_ruling': 'none_no'}","[['green', 'red'], ['white']]"
474,"{'right': 'crosswalk', 'down': 'empty', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red']]"
475,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'crosswalk', 'up': 'white_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['red', 'crosswalk'], ['white']]"
476,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'empty', 'up': 'white_car_straight', 'priority_ruling': 'stop_horizontal'}","[['red', 'white']]"
477,"{'right': 'crosswalk', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'red_car_straight', 'priority_ruling': 'none_no'}","[['crosswalk', 'red'], ['white']]"
478,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'red_car_straight', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['red', 'crosswalk'], ['white']]"
479,"{'right': 'empty', 'down': 'empty', 'left': 'crosswalk', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'white']]"
480,"{'right': 'empty', 'down': 'empty', 'left': 'crosswalk', 'up': 'green_car_turn_right', 'priority_ruling': 'none_no'}","[['crosswalk'], ['green']]"
481,"{'right': 'empty', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['white', 'red']]"
482,"{'right': 'empty', 'down': 'red_car_turn_right', 'left': 'green_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['red', 'green', 'crosswalk']]"
483,"{'right': 'green_car_turn_left', 'down': 'white_car_turn_right', 'left': 'red_car_straight', 'up': 'empty', 'priority_ruling': 'none_no'}","[['white'], ['red'], ['green']]"
484,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'crosswalk', 'up': 'green_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red'], ['green']]"
485,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['green', 'crosswalk']]"
486,"{'right': 'white_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'green_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['green'], ['white']]"
487,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'red_car_turn_right', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['red', 'green'], ['white']]"
488,"{'right': 'green_car_straight', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['green', 'white'], ['red']]"
489,"{'right': 'empty', 'down': 'white_car_turn_right', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'none_no'}","[['white', 'crosswalk']]"
490,"{'right': 'green_car_turn_left', 'down': 'empty', 'left': 'red_car_straight', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['white'], ['red'], ['green']]"
491,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'crosswalk', 'up': 'white_car_straight', 'priority_ruling': 'none_no'}","[['red', 'crosswalk', 'white']]"
492,"{'right': 'green_car_turn_right', 'down': 'crosswalk', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'none_no'}","[['green', 'crosswalk', 'white']]"
493,"{'right': 'empty', 'down': 'white_car_straight', 'left': 'green_car_turn_left', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['white'], ['green']]"
494,"{'right': 'empty', 'down': 'white_car_turn_right', 'left': 'green_car_turn_right', 'up': 'red_car_turn_left', 'priority_ruling': 'none_no'}","[['white', 'green'], ['red']]"
495,"{'right': 'green_car_turn_left', 'down': 'white_car_straight', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['white'], ['red'], ['green']]"
496,"{'right': 'white_car_turn_right', 'down': 'empty', 'left': 'red_car_straight', 'up': 'green_car_straight', 'priority_ruling': 'triangles_vertical'}","[['red', 'white'], ['green']]"
497,"{'right': 'red_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'none_no'}","[['white'], ['red']]"
498,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'green_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['green', 'red'], ['white']]"
499,"{'right': 'crosswalk', 'down': 'green_car_turn_right', 'left': 'red_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk'], ['green'], ['red']]"
500,"{'right': 'crosswalk', 'down': 'red_car_straight', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['red', 'crosswalk'], ['white']]"
501,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['red', 'crosswalk']]"
502,"{'right': 'white_car_turn_right', 'down': 'empty', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['white', 'red']]"
503,"{'right': 'green_car_turn_left', 'down': 'empty', 'left': 'crosswalk', 'up': 'white_car_turn_right', 'priority_ruling': 'none_no'}","[['crosswalk'], ['white'], ['green']]"
504,"{'right': 'red_car_turn_right', 'down': 'green_car_turn_right', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['red', 'green', 'crosswalk']]"
505,"{'right': 'green_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['green', 'crosswalk']]"
506,"{'right': 'empty', 'down': 'white_car_turn_right', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['white', 'red']]"
507,"{'right': 'red_car_turn_right', 'down': 'white_car_straight', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['red'], ['white']]"
508,"{'right': 'white_car_turn_right', 'down': 'empty', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['white', 'green']]"
509,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'crosswalk', 'up': 'green_car_straight', 'priority_ruling': 'stop_horizontal'}","[['red', 'crosswalk', 'green']]"
510,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['green', 'red']]"
511,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['green', 'red']]"
512,"{'right': 'crosswalk', 'down': 'empty', 'left': 'green_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'green']]"
513,"{'right': 'crosswalk', 'down': 'green_car_turn_right', 'left': 'white_car_straight', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red'], ['green'], ['white']]"
514,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'crosswalk', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red'], ['green']]"
515,"{'right': 'empty', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'red_car_straight', 'priority_ruling': 'none_no'}","[['white'], ['red']]"
516,"{'right': 'crosswalk', 'down': 'empty', 'left': 'empty', 'up': 'white_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'white']]"
517,"{'right': 'white_car_turn_right', 'down': 'empty', 'left': 'crosswalk', 'up': 'green_car_straight', 'priority_ruling': 'stop_vertical'}","[['white', 'crosswalk', 'green']]"
518,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'red']]"
519,"{'right': 'crosswalk', 'down': 'white_car_straight', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'white']]"
520,"{'right': 'empty', 'down': 'red_car_turn_left', 'left': 'green_car_straight', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['green', 'crosswalk'], ['red']]"
521,"{'right': 'green_car_turn_left', 'down': 'empty', 'left': 'white_car_straight', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['white', 'crosswalk'], ['green']]"
522,"{'right': 'empty', 'down': 'empty', 'left': 'crosswalk', 'up': 'green_car_straight', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'green']]"
523,"{'right': 'empty', 'down': 'white_car_turn_right', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['white', 'crosswalk']]"
524,"{'right': 'green_car_turn_right', 'down': 'empty', 'left': 'white_car_straight', 'up': 'red_car_turn_left', 'priority_ruling': 'none_no'}","[['white', 'green'], ['red']]"
525,"{'right': 'green_car_turn_left', 'down': 'red_car_straight', 'left': 'white_car_straight', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red'], ['white'], ['green']]"
526,"{'right': 'green_car_turn_right', 'down': 'empty', 'left': 'white_car_turn_left', 'up': 'red_car_straight', 'priority_ruling': 'stop_vertical'}","[['green'], ['white'], ['red']]"
527,"{'right': 'white_car_turn_left', 'down': 'red_car_turn_right', 'left': 'green_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['green', 'red', 'crosswalk'], ['white']]"
528,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'white_car_straight', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['green', 'crosswalk'], ['white']]"
529,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['green'], ['white']]"
530,"{'right': 'white_car_turn_right', 'down': 'green_car_turn_right', 'left': 'crosswalk', 'up': 'red_car_straight', 'priority_ruling': 'triangles_vertical'}","[['white', 'green', 'crosswalk', 'red']]"
531,"{'right': 'green_car_straight', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'none_no'}","[['green', 'white']]"
532,"{'right': 'green_car_turn_left', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['white'], ['red'], ['green']]"
533,"{'right': 'empty', 'down': 'red_car_turn_left', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['red', 'crosswalk']]"
534,"{'right': 'empty', 'down': 'red_car_turn_left', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['red', 'crosswalk']]"
535,"{'right': 'empty', 'down': 'crosswalk', 'left': 'green_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'green']]"
536,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['white', 'crosswalk']]"
537,"{'right': 'red_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'green_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['red'], ['green']]"
538,"{'right': 'white_car_turn_right', 'down': 'red_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['white', 'crosswalk'], ['red']]"
539,"{'right': 'crosswalk', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'none_no'}","[['red', 'crosswalk'], ['white']]"
540,"{'right': 'red_car_turn_left', 'down': 'crosswalk', 'left': 'green_car_turn_right', 'up': 'white_car_straight', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['green'], ['red'], ['white']]"
541,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['green'], ['white']]"
542,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['white', 'red']]"
543,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'none_no'}","[['green', 'red']]"
544,"{'right': 'white_car_turn_right', 'down': 'empty', 'left': 'crosswalk', 'up': 'green_car_straight', 'priority_ruling': 'triangles_vertical'}","[['white', 'crosswalk', 'green']]"
545,"{'right': 'red_car_turn_left', 'down': 'crosswalk', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['red']]"
546,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'crosswalk', 'up': 'red_car_straight', 'priority_ruling': 'stop_vertical'}","[['green', 'crosswalk', 'red']]"
547,"{'right': 'empty', 'down': 'red_car_turn_right', 'left': 'crosswalk', 'up': 'white_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'red'], ['white']]"
548,"{'right': 'red_car_turn_left', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'green_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['white'], ['green'], ['red']]"
549,"{'right': 'green_car_turn_left', 'down': 'white_car_straight', 'left': 'empty', 'up': 'red_car_straight', 'priority_ruling': 'stop_vertical'}","[['green'], ['white', 'red']]"
550,"{'right': 'white_car_turn_right', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'none_no'}","[['white', 'crosswalk', 'red']]"
551,"{'right': 'red_car_turn_left', 'down': 'white_car_straight', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'none_no'}","[['red'], ['white']]"
552,"{'right': 'empty', 'down': 'white_car_straight', 'left': 'red_car_turn_right', 'up': 'green_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['white', 'red'], ['green']]"
553,"{'right': 'empty', 'down': 'crosswalk', 'left': 'green_car_straight', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['red', 'crosswalk'], ['green']]"
554,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'red_car_turn_right', 'up': 'green_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['green', 'crosswalk'], ['red'], ['white']]"
555,"{'right': 'white_car_straight', 'down': 'empty', 'left': 'crosswalk', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red'], ['white']]"
556,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'empty', 'up': 'white_car_turn_right', 'priority_ruling': 'none_no'}","[['green', 'white']]"
557,"{'right': 'green_car_straight', 'down': 'crosswalk', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'none_no'}","[['green', 'crosswalk']]"
558,"{'right': 'empty', 'down': 'crosswalk', 'left': 'white_car_turn_left', 'up': 'green_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['green', 'crosswalk'], ['white']]"
559,"{'right': 'empty', 'down': 'empty', 'left': 'green_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['green']]"
560,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['white'], ['green']]"
561,"{'right': 'white_car_straight', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_straight', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red'], ['white']]"
562,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['crosswalk'], ['red']]"
563,"{'right': 'green_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['green', 'crosswalk']]"
564,"{'right': 'crosswalk', 'down': 'green_car_turn_left', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'triangles_horizontal'}","[['red', 'crosswalk'], ['green']]"
565,"{'right': 'crosswalk', 'down': 'empty', 'left': 'white_car_turn_left', 'up': 'red_car_straight', 'priority_ruling': 'none_no'}","[['white', 'crosswalk'], ['red']]"
566,"{'right': 'empty', 'down': 'red_car_turn_right', 'left': 'white_car_straight', 'up': 'green_car_turn_right', 'priority_ruling': 'none_no'}","[['red', 'green'], ['white']]"
567,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'white_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['crosswalk'], ['red'], ['white']]"
