,Unnamed: 0,Index,Scenario,Ordering,priority,prolog_priority,prolog_priority_solved
405,405,405,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['green', 'red']]",[0 1 0 1],"[[2, 4, 4, 0, 0], [1, 0, 0, 4, 4], [2, 4, 4, 0, 0], [1, 0, 0, 4, 4]]","[0, 1, 0, 1]"
406,406,406,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'empty', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['white'], ['green']]",[0 1 0 0],"[[1, 1, 4, 0, 3], [2, 3, 0, 1, 4], [1, 4, 1, 3, 0], [2, 0, 3, 4, 1]]","[1, 1, 0, 1]"
407,407,407,"{'right': 'white_car_turn_left', 'down': 'red_car_turn_left', 'left': 'crosswalk', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['white', 'crosswalk'], ['green'], ['red']]",[1 0 1 0],"[[1, 1, 3, 0, 1], [2, 1, 0, 1, 3], [1, 3, 1, 1, 0], [2, 0, 1, 3, 1]]","[1, 0, 1, 1]"
408,408,408,"{'right': 'empty', 'down': 'white_car_turn_right', 'left': 'red_car_straight', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['white'], ['red']]",[0 1 0 0],"[[2, 4, 2, 4, 0], [1, 0, 4, 4, 2], [2, 2, 4, 0, 4], [1, 4, 0, 2, 4]]","[0, 1, 1, 0]"
409,409,409,"{'right': 'red_car_turn_right', 'down': 'crosswalk', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'red'], ['green']]",[1 1 0 0],"[[2, 0, 0, 4, 3], [1, 3, 4, 0, 0], [2, 0, 0, 3, 4], [1, 4, 3, 0, 0]]","[1, 1, 1, 0]"
410,410,410,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'white_car_straight', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'green'], ['white']]",[1 1 0 0],"[[0, 3, 2, 4, 2], [0, 2, 4, 3, 2], [0, 2, 3, 2, 4], [0, 4, 2, 2, 3]]","[1, 1, 0, 0]"
411,411,411,"{'right': 'empty', 'down': 'white_car_straight', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['white', 'red']]",[0 1 0 1],"[[1, 4, 4, 0, 2], [2, 2, 0, 4, 4], [1, 4, 4, 2, 0], [2, 0, 2, 4, 4]]","[0, 1, 0, 1]"
412,412,412,"{'right': 'empty', 'down': 'empty', 'left': 'white_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['white']]",[0 0 0 1],"[[1, 4, 1, 3, 4], [2, 4, 3, 4, 1], [1, 1, 4, 4, 3], [2, 3, 4, 1, 4]]","[0, 0, 1, 1]"
413,413,413,"{'right': 'red_car_turn_right', 'down': 'white_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'none_no'}","[['red', 'crosswalk'], ['white']]",[1 0 1 0],"[[0, 0, 3, 4, 2], [0, 2, 4, 0, 3], [0, 3, 0, 2, 4], [0, 4, 2, 3, 0]]","[1, 0, 1, 0]"
414,414,414,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red'], ['white']]",[0 1 0 0],"[[2, 1, 0, 4, 3], [1, 3, 4, 1, 0], [2, 0, 1, 3, 4], [1, 4, 3, 0, 1]]","[0, 1, 1, 0]"
415,415,415,"{'right': 'white_car_turn_left', 'down': 'red_car_straight', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['red'], ['white']]",[0 1 0 0],"[[2, 1, 4, 4, 2], [1, 2, 4, 1, 4], [2, 4, 1, 2, 4], [1, 4, 2, 4, 1]]","[0, 1, 0, 0]"
416,416,416,"{'right': 'empty', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['white', 'crosswalk']]",[0 1 0 1],"[[1, 4, 4, 3, 0], [2, 0, 3, 4, 4], [1, 4, 4, 0, 3], [2, 3, 0, 4, 4]]","[0, 1, 0, 1]"
417,417,417,"{'right': 'green_car_turn_right', 'down': 'empty', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['green', 'red']]",[1 0 0 1],"[[2, 0, 4, 1, 4], [1, 4, 1, 0, 4], [2, 4, 0, 4, 1], [1, 1, 4, 4, 0]]","[1, 0, 0, 1]"
418,418,418,"{'right': 'empty', 'down': 'crosswalk', 'left': 'green_car_straight', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'green']]",[0 1 1 0],"[[2, 4, 2, 4, 3], [1, 3, 4, 4, 2], [2, 2, 4, 3, 4], [1, 4, 3, 2, 4]]","[0, 1, 1, 0]"
419,419,419,"{'right': 'red_car_turn_right', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'green_car_turn_left', 'priority_ruling': 'none_no'}","[['white', 'red'], ['green']]",[1 1 0 0],"[[0, 0, 4, 1, 0], [0, 0, 1, 0, 4], [0, 4, 0, 0, 1], [0, 1, 0, 4, 0]]","[1, 1, 0, 0]"
420,420,420,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'green_car_straight', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'green'], ['white']]",[0 1 1 0],"[[2, 1, 2, 4, 3], [1, 3, 4, 1, 2], [2, 2, 1, 3, 4], [1, 4, 3, 2, 1]]","[0, 1, 1, 0]"
421,421,421,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['white'], ['green']]",[0 0 1 0],"[[1, 4, 1, 4, 2], [2, 2, 4, 4, 1], [1, 1, 4, 2, 4], [2, 4, 2, 1, 4]]","[0, 1, 1, 0]"
422,422,422,"{'right': 'crosswalk', 'down': 'red_car_turn_right', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red'], ['white']]",[1 0 0 0],"[[2, 3, 1, 4, 0], [1, 0, 4, 3, 1], [2, 1, 3, 0, 4], [1, 4, 0, 1, 3]]","[1, 1, 0, 0]"
423,423,423,"{'right': 'red_car_turn_left', 'down': 'white_car_turn_right', 'left': 'green_car_straight', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['white', 'crosswalk'], ['green'], ['red']]",[0 1 0 1],"[[2, 1, 2, 3, 0], [1, 0, 3, 1, 2], [2, 2, 1, 0, 3], [1, 3, 0, 2, 1]]","[0, 1, 1, 1]"
424,424,424,"{'right': 'white_car_turn_right', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'none_no'}","[['white', 'red']]",[1 1 0 0],"[[0, 0, 4, 4, 0], [0, 0, 4, 0, 4], [0, 4, 0, 0, 4], [0, 4, 0, 4, 0]]","[1, 1, 0, 0]"
425,425,425,"{'right': 'green_car_turn_right', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['green', 'white']]",[1 1 0 0],"[[1, 0, 4, 4, 0], [2, 0, 4, 0, 4], [1, 4, 0, 0, 4], [2, 4, 0, 4, 0]]","[1, 1, 0, 0]"
426,426,426,"{'right': 'white_car_straight', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'none_no'}","[['white', 'green']]",[1 1 0 0],"[[0, 2, 4, 4, 0], [0, 0, 4, 2, 4], [0, 4, 2, 0, 4], [0, 4, 0, 4, 2]]","[1, 1, 0, 0]"
427,427,427,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'white_car_straight', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['white']]",[0 1 0 0],"[[1, 4, 4, 2, 3], [2, 3, 2, 4, 4], [1, 4, 4, 3, 2], [2, 2, 3, 4, 4]]","[0, 1, 0, 1]"
428,428,428,"{'right': 'green_car_turn_left', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['green', 'red'], ['white']]",[1 1 0 0],"[[1, 1, 4, 1, 0], [2, 0, 1, 1, 4], [1, 4, 1, 0, 1], [2, 1, 0, 4, 1]]","[1, 1, 0, 0]"
429,429,429,"{'right': 'red_car_turn_right', 'down': 'crosswalk', 'left': 'green_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['red', 'crosswalk'], ['green']]",[1 1 0 0],"[[2, 0, 1, 4, 3], [1, 3, 4, 0, 1], [2, 1, 0, 3, 4], [1, 4, 3, 1, 0]]","[1, 1, 0, 0]"
430,430,430,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'white_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['green', 'white']]",[0 1 1 0],"[[2, 4, 0, 4, 0], [1, 0, 4, 4, 0], [2, 0, 4, 0, 4], [1, 4, 0, 0, 4]]","[0, 1, 1, 0]"
431,431,431,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'crosswalk', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['red', 'crosswalk'], ['white']]",[0 1 1 0],"[[2, 4, 3, 1, 2], [1, 2, 1, 4, 3], [2, 3, 4, 2, 1], [1, 1, 2, 3, 4]]","[0, 1, 1, 0]"
432,432,432,"{'right': 'green_car_straight', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['green', 'red', 'crosswalk']]",[1 1 0 1],"[[2, 2, 4, 3, 0], [1, 0, 3, 2, 4], [2, 4, 2, 0, 3], [1, 3, 0, 4, 2]]","[1, 1, 0, 1]"
433,433,433,"{'right': 'empty', 'down': 'crosswalk', 'left': 'white_car_straight', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'white']]",[0 1 1 0],"[[0, 4, 2, 4, 3], [0, 3, 4, 4, 2], [0, 2, 4, 3, 4], [0, 4, 3, 2, 4]]","[0, 1, 1, 0]"
434,434,434,"{'right': 'green_car_turn_right', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['green', 'red']]",[1 1 0 0],"[[2, 0, 4, 4, 0], [1, 0, 4, 0, 4], [2, 4, 0, 0, 4], [1, 4, 0, 4, 0]]","[1, 1, 0, 0]"
435,435,435,"{'right': 'green_car_turn_left', 'down': 'red_car_straight', 'left': 'crosswalk', 'up': 'white_car_straight', 'priority_ruling': 'none_no'}","[['white', 'crosswalk'], ['green'], ['red']]",[0 0 1 1],"[[0, 1, 3, 2, 2], [0, 2, 2, 1, 3], [0, 3, 1, 2, 2], [0, 2, 2, 3, 1]]","[0, 0, 1, 1]"
436,436,436,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'green_car_straight', 'up': 'white_car_turn_right', 'priority_ruling': 'none_no'}","[['red', 'green', 'white']]",[1 0 1 1],"[[0, 0, 2, 0, 4], [0, 4, 0, 0, 2], [0, 2, 0, 4, 0], [0, 0, 4, 2, 0]]","[1, 0, 1, 1]"
437,437,437,"{'right': 'crosswalk', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'green_car_straight', 'priority_ruling': 'triangles_horizontal'}","[['green', 'crosswalk'], ['white']]",[1 0 0 1],"[[2, 3, 4, 2, 1], [1, 1, 2, 3, 4], [2, 4, 3, 1, 2], [1, 2, 1, 4, 3]]","[1, 0, 0, 1]"
438,438,438,"{'right': 'empty', 'down': 'empty', 'left': 'red_car_turn_right', 'up': 'green_car_straight', 'priority_ruling': 'none_no'}","[['red'], ['green']]",[0 0 1 0],"[[0, 4, 0, 2, 4], [0, 4, 2, 4, 0], [0, 0, 4, 4, 2], [0, 2, 4, 0, 4]]","[0, 0, 1, 0]"
439,439,439,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'green_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['white', 'green', 'crosswalk']]",[0 1 1 1],"[[1, 4, 0, 3, 1], [2, 1, 3, 4, 0], [1, 0, 4, 1, 3], [2, 3, 1, 0, 4]]","[0, 1, 1, 1]"
440,440,440,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_straight', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['white'], ['red']]",[0 1 0 0],"[[1, 1, 4, 2, 3], [2, 3, 2, 1, 4], [1, 4, 1, 3, 2], [2, 2, 3, 4, 1]]","[1, 1, 0, 1]"
441,441,441,"{'right': 'crosswalk', 'down': 'empty', 'left': 'green_car_turn_right', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'green', 'red']]",[1 0 1 1],"[[2, 3, 0, 0, 4], [1, 4, 0, 3, 0], [2, 0, 3, 4, 0], [1, 0, 4, 0, 3]]","[1, 0, 1, 1]"
442,442,442,"{'right': 'green_car_turn_left', 'down': 'empty', 'left': 'white_car_turn_left', 'up': 'red_car_turn_left', 'priority_ruling': 'none_no'}","[['white'], ['red'], ['green']]",[0 0 1 0],"[[0, 1, 1, 1, 4], [0, 4, 1, 1, 1], [0, 1, 1, 4, 1], [0, 1, 4, 1, 1]]","[0, 0, 1, 0]"
443,443,443,"{'right': 'red_car_turn_right', 'down': 'white_car_straight', 'left': 'empty', 'up': 'green_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['white', 'green'], ['red']]",[0 1 0 1],"[[2, 0, 4, 0, 2], [1, 2, 0, 0, 4], [2, 4, 0, 2, 0], [1, 0, 2, 4, 0]]","[0, 1, 0, 1]"
444,444,444,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['green', 'red']]",[0 1 0 1],"[[2, 4, 4, 0, 2], [1, 2, 0, 4, 4], [2, 4, 4, 2, 0], [1, 0, 2, 4, 4]]","[0, 1, 0, 1]"
445,445,445,"{'right': 'red_car_straight', 'down': 'crosswalk', 'left': 'empty', 'up': 'white_car_turn_right', 'priority_ruling': 'none_no'}","[['white', 'crosswalk'], ['red']]",[0 1 0 1],"[[0, 2, 4, 0, 3], [0, 3, 0, 2, 4], [0, 4, 2, 3, 0], [0, 0, 3, 4, 2]]","[0, 1, 0, 1]"
446,446,446,"{'right': 'crosswalk', 'down': 'white_car_turn_right', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'green'], ['white']]",[1 0 1 0],"[[0, 3, 0, 4, 0], [0, 0, 4, 3, 0], [0, 0, 3, 0, 4], [0, 4, 0, 0, 3]]","[1, 1, 1, 0]"
447,447,447,"{'right': 'empty', 'down': 'white_car_turn_right', 'left': 'crosswalk', 'up': 'red_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'white'], ['red']]",[0 1 1 0],"[[1, 4, 3, 0, 0], [2, 0, 0, 4, 3], [1, 3, 4, 0, 0], [2, 0, 0, 3, 4]]","[0, 1, 1, 1]"
448,448,448,"{'right': 'white_car_turn_left', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['white', 'green', 'crosswalk']]",[1 1 0 1],"[[2, 1, 4, 3, 0], [1, 0, 3, 1, 4], [2, 4, 1, 0, 3], [1, 3, 0, 4, 1]]","[1, 1, 0, 1]"
449,449,449,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'green_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['green', 'crosswalk'], ['red']]",[0 0 1 1],"[[2, 1, 0, 3, 4], [1, 4, 3, 1, 0], [2, 0, 1, 4, 3], [1, 3, 4, 0, 1]]","[0, 0, 1, 1]"
450,450,450,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk'], ['red']]",[0 1 0 0],"[[0, 4, 0, 4, 3], [0, 3, 4, 4, 0], [0, 0, 4, 3, 4], [0, 4, 3, 0, 4]]","[0, 1, 1, 0]"
451,451,451,"{'right': 'empty', 'down': 'red_car_turn_right', 'left': 'green_car_straight', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['green', 'crosswalk'], ['red']]",[0 0 1 1],"[[1, 4, 2, 3, 0], [2, 0, 3, 4, 2], [1, 2, 4, 0, 3], [2, 3, 0, 2, 4]]","[0, 0, 1, 1]"
452,452,452,"{'right': 'green_car_turn_left', 'down': 'empty', 'left': 'crosswalk', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['white', 'crosswalk'], ['green']]",[0 0 1 1],"[[2, 1, 3, 1, 4], [1, 4, 1, 1, 3], [2, 3, 1, 4, 1], [1, 1, 4, 3, 1]]","[0, 0, 1, 1]"
453,453,453,"{'right': 'green_car_turn_right', 'down': 'crosswalk', 'left': 'white_car_turn_right', 'up': 'red_car_turn_left', 'priority_ruling': 'none_no'}","[['crosswalk', 'green'], ['white'], ['red']]",[1 1 0 0],"[[0, 0, 0, 1, 3], [0, 3, 1, 0, 0], [0, 0, 0, 3, 1], [0, 1, 3, 0, 0]]","[1, 1, 1, 0]"
454,454,454,"{'right': 'empty', 'down': 'empty', 'left': 'white_car_turn_left', 'up': 'green_car_turn_right', 'priority_ruling': 'none_no'}","[['white', 'green']]",[0 0 1 1],"[[0, 4, 1, 0, 4], [0, 4, 0, 4, 1], [0, 1, 4, 4, 0], [0, 0, 4, 1, 4]]","[0, 0, 1, 1]"
455,455,455,"{'right': 'green_car_turn_right', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red'], ['green']]",[0 1 0 1],"[[2, 0, 4, 3, 0], [1, 0, 3, 0, 4], [2, 4, 0, 0, 3], [1, 3, 0, 4, 0]]","[1, 1, 0, 1]"
456,456,456,"{'right': 'crosswalk', 'down': 'red_car_straight', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red'], ['white']]",[1 1 0 0],"[[2, 3, 4, 1, 2], [1, 2, 1, 3, 4], [2, 4, 3, 2, 1], [1, 1, 2, 4, 3]]","[1, 1, 0, 0]"
457,457,457,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['crosswalk'], ['green']]",[0 0 0 1],"[[0, 4, 4, 3, 2], [0, 2, 3, 4, 4], [0, 4, 4, 2, 3], [0, 3, 2, 4, 4]]","[0, 1, 0, 1]"
458,458,458,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['green', 'crosswalk']]",[0 1 1 0],"[[2, 4, 3, 4, 0], [1, 0, 4, 4, 3], [2, 3, 4, 0, 4], [1, 4, 0, 3, 4]]","[0, 1, 1, 0]"
459,459,459,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'crosswalk', 'up': 'red_car_straight', 'priority_ruling': 'none_no'}","[['green', 'crosswalk', 'red']]",[0 1 1 1],"[[0, 4, 3, 2, 2], [0, 2, 2, 4, 3], [0, 3, 4, 2, 2], [0, 2, 2, 3, 4]]","[0, 1, 1, 1]"
460,460,460,"{'right': 'white_car_turn_left', 'down': 'empty', 'left': 'green_car_turn_right', 'up': 'red_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['green'], ['white'], ['red']]",[0 0 1 0],"[[1, 1, 0, 0, 4], [2, 4, 0, 1, 0], [1, 0, 1, 4, 0], [2, 0, 4, 0, 1]]","[0, 0, 1, 1]"
461,461,461,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'green_car_straight', 'priority_ruling': 'none_no'}","[['crosswalk'], ['green']]",[0 1 0 0],"[[0, 4, 4, 2, 3], [0, 3, 2, 4, 4], [0, 4, 4, 3, 2], [0, 2, 3, 4, 4]]","[0, 1, 0, 1]"
462,462,462,"{'right': 'empty', 'down': 'empty', 'left': 'crosswalk', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'red']]",[0 0 1 1],"[[1, 4, 3, 1, 4], [2, 4, 1, 4, 3], [1, 3, 4, 4, 1], [2, 1, 4, 3, 4]]","[0, 0, 1, 1]"
463,463,463,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'white']]",[0 1 0 1],"[[2, 4, 4, 1, 3], [1, 3, 1, 4, 4], [2, 4, 4, 3, 1], [1, 1, 3, 4, 4]]","[0, 1, 0, 1]"
464,464,464,"{'right': 'red_car_turn_left', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['red', 'crosswalk'], ['white']]",[1 0 0 1],"[[1, 1, 4, 3, 1], [2, 1, 3, 1, 4], [1, 4, 1, 1, 3], [2, 3, 1, 4, 1]]","[1, 0, 0, 1]"
465,465,465,"{'right': 'crosswalk', 'down': 'empty', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'green']]",[1 0 1 0],"[[1, 3, 0, 4, 4], [2, 4, 4, 3, 0], [1, 0, 3, 4, 4], [2, 4, 4, 0, 3]]","[1, 0, 1, 0]"
466,466,466,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'empty', 'up': 'red_car_straight', 'priority_ruling': 'none_no'}","[['crosswalk', 'green', 'red']]",[1 1 0 1],"[[0, 3, 4, 2, 2], [0, 2, 2, 3, 4], [0, 4, 3, 2, 2], [0, 2, 2, 4, 3]]","[1, 1, 0, 1]"
467,467,467,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'crosswalk', 'up': 'red_car_turn_right', 'priority_ruling': 'none_no'}","[['crosswalk'], ['red'], ['green']]",[0 0 1 0],"[[0, 4, 3, 0, 1], [0, 1, 0, 4, 3], [0, 3, 4, 1, 0], [0, 0, 1, 3, 4]]","[0, 0, 1, 1]"
468,468,468,"{'right': 'white_car_turn_right', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['white', 'crosswalk', 'red']]",[1 1 0 1],"[[2, 0, 4, 0, 3], [1, 3, 0, 0, 4], [2, 4, 0, 3, 0], [1, 0, 3, 4, 0]]","[1, 1, 0, 1]"
469,469,469,"{'right': 'white_car_turn_right', 'down': 'empty', 'left': 'crosswalk', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['white', 'crosswalk', 'red']]",[1 0 1 1],"[[2, 0, 3, 1, 4], [1, 4, 1, 0, 3], [2, 3, 0, 4, 1], [1, 1, 4, 3, 0]]","[1, 0, 1, 1]"
470,470,470,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'green_car_straight', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['red', 'green']]",[1 0 1 0],"[[1, 0, 2, 4, 4], [2, 4, 4, 0, 2], [1, 2, 0, 4, 4], [2, 4, 4, 2, 0]]","[1, 0, 1, 0]"
471,471,471,"{'right': 'red_car_turn_right', 'down': 'green_car_turn_right', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['red', 'green'], ['white']]",[1 1 0 0],"[[2, 0, 1, 4, 0], [1, 0, 4, 0, 1], [2, 1, 0, 0, 4], [1, 4, 0, 1, 0]]","[1, 1, 0, 0]"
472,472,472,"{'right': 'green_car_turn_right', 'down': 'red_car_straight', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['green'], ['red']]",[0 0 0 1],"[[1, 0, 4, 3, 2], [2, 2, 3, 0, 4], [1, 4, 0, 2, 3], [2, 3, 2, 4, 0]]","[1, 1, 0, 1]"
473,473,473,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'red_car_turn_right', 'up': 'white_car_turn_left', 'priority_ruling': 'none_no'}","[['green', 'red'], ['white']]",[0 1 1 0],"[[0, 4, 0, 1, 2], [0, 2, 1, 4, 0], [0, 0, 4, 2, 1], [0, 1, 2, 0, 4]]","[0, 1, 1, 0]"
474,474,474,"{'right': 'crosswalk', 'down': 'empty', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red']]",[1 0 0 0],"[[2, 3, 4, 1, 4], [1, 4, 1, 3, 4], [2, 4, 3, 4, 1], [1, 1, 4, 4, 3]]","[1, 0, 0, 1]"
475,475,475,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'crosswalk', 'up': 'white_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['red', 'crosswalk'], ['white']]",[1 0 1 0],"[[1, 1, 3, 0, 4], [2, 4, 0, 1, 3], [1, 3, 1, 4, 0], [2, 0, 4, 3, 1]]","[1, 0, 1, 1]"
476,476,476,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'empty', 'up': 'white_car_straight', 'priority_ruling': 'stop_horizontal'}","[['red', 'white']]",[0 1 0 1],"[[2, 4, 4, 2, 2], [1, 2, 2, 4, 4], [2, 4, 4, 2, 2], [1, 2, 2, 4, 4]]","[0, 1, 0, 1]"
477,477,477,"{'right': 'crosswalk', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'red_car_straight', 'priority_ruling': 'none_no'}","[['crosswalk', 'red'], ['white']]",[1 0 0 1],"[[0, 3, 4, 2, 0], [0, 0, 2, 3, 4], [0, 4, 3, 0, 2], [0, 2, 0, 4, 3]]","[1, 1, 0, 1]"
478,478,478,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'red_car_straight', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['red', 'crosswalk'], ['white']]",[0 0 1 1],"[[1, 4, 2, 3, 1], [2, 1, 3, 4, 2], [1, 2, 4, 1, 3], [2, 3, 1, 2, 4]]","[0, 0, 1, 1]"
479,479,479,"{'right': 'empty', 'down': 'empty', 'left': 'crosswalk', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'white']]",[0 0 1 1],"[[1, 4, 3, 1, 4], [2, 4, 1, 4, 3], [1, 3, 4, 4, 1], [2, 1, 4, 3, 4]]","[0, 0, 1, 1]"
480,480,480,"{'right': 'empty', 'down': 'empty', 'left': 'crosswalk', 'up': 'green_car_turn_right', 'priority_ruling': 'none_no'}","[['crosswalk'], ['green']]",[0 0 1 0],"[[0, 4, 3, 0, 4], [0, 4, 0, 4, 3], [0, 3, 4, 4, 0], [0, 0, 4, 3, 4]]","[0, 0, 1, 1]"
481,481,481,"{'right': 'empty', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['white', 'red']]",[0 0 1 1],"[[1, 4, 0, 0, 4], [2, 4, 0, 4, 0], [1, 0, 4, 4, 0], [2, 0, 4, 0, 4]]","[0, 0, 1, 1]"
482,482,482,"{'right': 'empty', 'down': 'red_car_turn_right', 'left': 'green_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['red', 'green', 'crosswalk']]",[0 1 1 1],"[[1, 4, 0, 3, 0], [2, 0, 3, 4, 0], [1, 0, 4, 0, 3], [2, 3, 0, 0, 4]]","[0, 1, 1, 1]"
