,Index,Scenario,Ordering,priority,prolog_priority
687,687,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'white_car_turn_right', 'priority_ruling': 'none_no'}","[['crosswalk', 'white']]",[0 1 0 1],"[[0, 4, 4, 0, 3], [0, 3, 0, 4, 4], [0, 4, 4, 3, 0], [0, 0, 3, 4, 4]]"
688,688,"{'right': 'empty', 'down': 'red_car_turn_right', 'left': 'green_car_turn_right', 'up': 'white_car_straight', 'priority_ruling': 'none_no'}","[['green', 'red'], ['white']]",[0 1 1 0],"[[0, 4, 0, 2, 0], [0, 0, 2, 4, 0], [0, 0, 4, 0, 2], [0, 2, 0, 0, 4]]"
689,689,"{'right': 'red_car_turn_left', 'down': 'white_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['white'], ['red']]",[0 0 1 0],"[[2, 1, 3, 4, 1], [1, 1, 4, 1, 3], [2, 3, 1, 1, 4], [1, 4, 1, 3, 1]]"
690,690,"{'right': 'green_car_turn_right', 'down': 'red_car_turn_left', 'left': 'white_car_turn_right', 'up': 'empty', 'priority_ruling': 'none_no'}","[['green', 'white'], ['red']]",[1 0 1 0],"[[0, 0, 0, 4, 1], [0, 1, 4, 0, 0], [0, 0, 0, 1, 4], [0, 4, 1, 0, 0]]"
691,691,"{'right': 'red_car_turn_right', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['red', 'green']]",[1 1 0 0],"[[1, 0, 4, 4, 0], [2, 0, 4, 0, 4], [1, 4, 0, 0, 4], [2, 4, 0, 4, 0]]"
692,692,"{'right': 'empty', 'down': 'empty', 'left': 'green_car_turn_left', 'up': 'white_car_straight', 'priority_ruling': 'triangles_vertical'}","[['green'], ['white']]",[0 0 1 0],"[[1, 4, 1, 2, 4], [2, 4, 2, 4, 1], [1, 1, 4, 4, 2], [2, 2, 4, 1, 4]]"
693,693,"{'right': 'green_car_turn_right', 'down': 'empty', 'left': 'crosswalk', 'up': 'red_car_straight', 'priority_ruling': 'triangles_horizontal'}","[['green', 'crosswalk', 'red']]",[1 0 1 1],"[[2, 0, 3, 2, 4], [1, 4, 2, 0, 3], [2, 3, 0, 4, 2], [1, 2, 4, 3, 0]]"
694,694,"{'right': 'green_car_straight', 'down': 'red_car_straight', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['green'], ['red']]",[1 0 0 0],"[[1, 2, 4, 4, 2], [2, 2, 4, 2, 4], [1, 4, 2, 2, 4], [2, 4, 2, 4, 2]]"
695,695,"{'right': 'white_car_turn_left', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'none_no'}","[['white', 'green']]",[1 1 0 0],"[[0, 1, 4, 4, 0], [0, 0, 4, 1, 4], [0, 4, 1, 0, 4], [0, 4, 0, 4, 1]]"
696,696,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'white_car_straight', 'priority_ruling': 'triangles_horizontal'}","[['green', 'white']]",[0 1 0 1],"[[2, 4, 4, 2, 0], [1, 0, 2, 4, 4], [2, 4, 4, 0, 2], [1, 2, 0, 4, 4]]"
697,697,"{'right': 'white_car_turn_right', 'down': 'empty', 'left': 'red_car_turn_right', 'up': 'green_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['red', 'white'], ['green']]",[1 0 1 0],"[[1, 0, 0, 1, 4], [2, 4, 1, 0, 0], [1, 0, 0, 4, 1], [2, 1, 4, 0, 0]]"
698,698,"{'right': 'white_car_straight', 'down': 'red_car_turn_right', 'left': 'green_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['white', 'red', 'green', 'crosswalk']]",[1 1 1 1],"[[0, 2, 0, 3, 0], [0, 0, 3, 2, 0], [0, 0, 2, 0, 3], [0, 3, 0, 0, 2]]"
699,699,"{'right': 'green_car_straight', 'down': 'crosswalk', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'green'], ['red']]",[1 1 0 0],"[[0, 2, 0, 4, 3], [0, 3, 4, 2, 0], [0, 0, 2, 3, 4], [0, 4, 3, 0, 2]]"
700,700,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'none_no'}","[['crosswalk', 'green', 'red']]",[1 1 0 1],"[[0, 3, 4, 0, 2], [0, 2, 0, 3, 4], [0, 4, 3, 2, 0], [0, 0, 2, 4, 3]]"
701,701,"{'right': 'crosswalk', 'down': 'empty', 'left': 'red_car_straight', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk'], ['red']]",[1 0 0 0],"[[0, 3, 2, 4, 4], [0, 4, 4, 3, 2], [0, 2, 3, 4, 4], [0, 4, 4, 2, 3]]"
702,702,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'empty', 'up': 'green_car_straight', 'priority_ruling': 'stop_horizontal'}","[['red', 'green']]",[1 0 0 1],"[[2, 0, 4, 2, 4], [1, 4, 2, 0, 4], [2, 4, 0, 4, 2], [1, 2, 4, 4, 0]]"
703,703,"{'right': 'white_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['white', 'crosswalk']]",[1 0 0 1],"[[2, 2, 4, 3, 4], [1, 4, 3, 2, 4], [2, 4, 2, 4, 3], [1, 3, 4, 4, 2]]"
704,704,"{'right': 'white_car_turn_left', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['white', 'green', 'crosswalk']]",[1 1 0 1],"[[1, 1, 4, 3, 0], [2, 0, 3, 1, 4], [1, 4, 1, 0, 3], [2, 3, 0, 4, 1]]"
705,705,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_straight', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red'], ['white']]",[0 1 0 0],"[[2, 1, 4, 2, 3], [1, 3, 2, 1, 4], [2, 4, 1, 3, 2], [1, 2, 3, 4, 1]]"
706,706,"{'right': 'empty', 'down': 'white_car_straight', 'left': 'crosswalk', 'up': 'red_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'white'], ['red']]",[0 1 1 0],"[[1, 4, 3, 0, 2], [2, 2, 0, 4, 3], [1, 3, 4, 2, 0], [2, 0, 2, 3, 4]]"
707,707,"{'right': 'empty', 'down': 'empty', 'left': 'white_car_straight', 'up': 'red_car_straight', 'priority_ruling': 'none_no'}","[['white'], ['red']]",[0 0 1 0],"[[0, 4, 2, 2, 4], [0, 4, 2, 4, 2], [0, 2, 4, 4, 2], [0, 2, 4, 2, 4]]"
708,708,"{'right': 'red_car_turn_right', 'down': 'white_car_turn_right', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'none_no'}","[['red', 'white', 'crosswalk']]",[1 1 1 0],"[[0, 0, 3, 4, 0], [0, 0, 4, 0, 3], [0, 3, 0, 0, 4], [0, 4, 0, 3, 0]]"
709,709,"{'right': 'red_car_turn_right', 'down': 'empty', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['crosswalk'], ['red']]",[0 0 0 1],"[[0, 0, 4, 3, 4], [0, 4, 3, 0, 4], [0, 4, 0, 4, 3], [0, 3, 4, 4, 0]]"
710,710,"{'right': 'green_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['green'], ['red']]",[1 0 0 0],"[[1, 2, 4, 1, 4], [2, 4, 1, 2, 4], [1, 4, 2, 4, 1], [2, 1, 4, 4, 2]]"
711,711,"{'right': 'white_car_turn_right', 'down': 'empty', 'left': 'crosswalk', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'white'], ['green']]",[1 0 1 0],"[[2, 0, 3, 0, 4], [1, 4, 0, 0, 3], [2, 3, 0, 4, 0], [1, 0, 4, 3, 0]]"
712,712,"{'right': 'red_car_turn_left', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['white', 'crosswalk'], ['red']]",[0 1 0 1],"[[2, 1, 4, 3, 1], [1, 1, 3, 1, 4], [2, 4, 1, 1, 3], [1, 3, 1, 4, 1]]"
713,713,"{'right': 'empty', 'down': 'crosswalk', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'none_no'}","[['crosswalk', 'white']]",[0 1 0 1],"[[0, 4, 4, 1, 3], [0, 3, 1, 4, 4], [0, 4, 4, 3, 1], [0, 1, 3, 4, 4]]"
714,714,"{'right': 'red_car_turn_left', 'down': 'green_car_straight', 'left': 'empty', 'up': 'white_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['red'], ['green', 'white']]",[1 0 0 0],"[[1, 1, 4, 0, 2], [2, 2, 0, 1, 4], [1, 4, 1, 2, 0], [2, 0, 2, 4, 1]]"
715,715,"{'right': 'green_car_turn_left', 'down': 'empty', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['green', 'crosswalk']]",[1 0 0 1],"[[2, 1, 4, 3, 4], [1, 4, 3, 1, 4], [2, 4, 1, 4, 3], [1, 3, 4, 4, 1]]"
716,716,"{'right': 'crosswalk', 'down': 'white_car_turn_left', 'left': 'red_car_straight', 'up': 'green_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'green'], ['red'], ['white']]",[1 0 0 1],"[[1, 3, 2, 0, 1], [2, 1, 0, 3, 2], [1, 2, 3, 1, 0], [2, 0, 1, 2, 3]]"
717,717,"{'right': 'empty', 'down': 'crosswalk', 'left': 'white_car_straight', 'up': 'green_car_straight', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'white'], ['green']]",[0 1 1 0],"[[1, 4, 2, 2, 3], [2, 3, 2, 4, 2], [1, 2, 4, 3, 2], [2, 2, 3, 2, 4]]"
718,718,"{'right': 'green_car_straight', 'down': 'empty', 'left': 'red_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['green'], ['red']]",[1 0 0 0],"[[0, 2, 1, 4, 4], [0, 4, 4, 2, 1], [0, 1, 2, 4, 4], [0, 4, 4, 1, 2]]"
719,719,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'crosswalk', 'up': 'red_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'green'], ['red']]",[0 1 1 0],"[[1, 4, 3, 0, 2], [2, 2, 0, 4, 3], [1, 3, 4, 2, 0], [2, 0, 2, 3, 4]]"
720,720,"{'right': 'red_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_horizontal'}","[['green'], ['red']]",[0 0 0 1],"[[2, 2, 4, 0, 4], [1, 4, 0, 2, 4], [2, 4, 2, 4, 0], [1, 0, 4, 4, 2]]"
721,721,"{'right': 'empty', 'down': 'red_car_straight', 'left': 'white_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'white'], ['red']]",[0 0 1 1],"[[2, 4, 0, 3, 2], [1, 2, 3, 4, 0], [2, 0, 4, 2, 3], [1, 3, 2, 0, 4]]"
722,722,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['green', 'crosswalk']]",[0 1 0 1],"[[1, 4, 4, 3, 1], [2, 1, 3, 4, 4], [1, 4, 4, 1, 3], [2, 3, 1, 4, 4]]"
723,723,"{'right': 'red_car_turn_right', 'down': 'white_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'white'], ['red']]",[0 1 0 1],"[[2, 0, 4, 3, 0], [1, 0, 3, 0, 4], [2, 4, 0, 0, 3], [1, 3, 0, 4, 0]]"
724,724,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'red'], ['white']]",[0 1 0 1],"[[2, 1, 4, 1, 3], [1, 3, 1, 1, 4], [2, 4, 1, 3, 1], [1, 1, 3, 4, 1]]"
725,725,"{'right': 'empty', 'down': 'red_car_turn_left', 'left': 'green_car_turn_left', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['red', 'white'], ['green']]",[0 1 0 1],"[[2, 4, 1, 1, 1], [1, 1, 1, 4, 1], [2, 1, 4, 1, 1], [1, 1, 1, 1, 4]]"
726,726,"{'right': 'white_car_turn_right', 'down': 'empty', 'left': 'red_car_straight', 'up': 'green_car_turn_right', 'priority_ruling': 'none_no'}","[['white', 'red', 'green']]",[1 0 1 1],"[[0, 0, 2, 0, 4], [0, 4, 0, 0, 2], [0, 2, 0, 4, 0], [0, 0, 4, 2, 0]]"
727,727,"{'right': 'empty', 'down': 'red_car_turn_right', 'left': 'green_car_turn_left', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['green'], ['red'], ['white']]",[0 0 1 0],"[[1, 4, 1, 1, 0], [2, 0, 1, 4, 1], [1, 1, 4, 0, 1], [2, 1, 0, 1, 4]]"
728,728,"{'right': 'red_car_turn_left', 'down': 'crosswalk', 'left': 'white_car_turn_right', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['white'], ['red']]",[0 1 0 0],"[[1, 1, 0, 4, 3], [2, 3, 4, 1, 0], [1, 0, 1, 3, 4], [2, 4, 3, 0, 1]]"
729,729,"{'right': 'red_car_turn_left', 'down': 'white_car_turn_left', 'left': 'crosswalk', 'up': 'green_car_turn_left', 'priority_ruling': 'none_no'}","[['green', 'crosswalk'], ['red'], ['white']]",[0 0 1 1],"[[0, 1, 3, 1, 1], [0, 1, 1, 1, 3], [0, 3, 1, 1, 1], [0, 1, 1, 3, 1]]"
730,730,"{'right': 'red_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'white_car_straight', 'priority_ruling': 'none_no'}","[['white'], ['red']]",[0 0 0 1],"[[0, 2, 4, 2, 4], [0, 4, 2, 2, 4], [0, 4, 2, 4, 2], [0, 2, 4, 4, 2]]"
731,731,"{'right': 'white_car_straight', 'down': 'red_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk'], ['white'], ['red']]",[0 0 1 0],"[[0, 2, 3, 4, 1], [0, 1, 4, 2, 3], [0, 3, 2, 1, 4], [0, 4, 1, 3, 2]]"
732,732,"{'right': 'white_car_straight', 'down': 'red_car_straight', 'left': 'green_car_turn_right', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['red', 'green'], ['white']]",[0 1 1 0],"[[2, 2, 0, 4, 2], [1, 2, 4, 2, 0], [2, 0, 2, 2, 4], [1, 4, 2, 0, 2]]"
733,733,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'red_car_straight', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['red', 'crosswalk'], ['green']]",[0 0 1 1],"[[1, 4, 2, 3, 2], [2, 2, 3, 4, 2], [1, 2, 4, 2, 3], [2, 3, 2, 2, 4]]"
734,734,"{'right': 'crosswalk', 'down': 'white_car_straight', 'left': 'red_car_straight', 'up': 'green_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'green'], ['red'], ['white']]",[1 0 0 1],"[[1, 3, 2, 0, 2], [2, 2, 0, 3, 2], [1, 2, 3, 2, 0], [2, 0, 2, 2, 3]]"
735,735,"{'right': 'white_car_turn_right', 'down': 'empty', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['white']]",[0 0 0 1],"[[1, 0, 4, 3, 4], [2, 4, 3, 0, 4], [1, 4, 0, 4, 3], [2, 3, 4, 4, 0]]"
736,736,"{'right': 'crosswalk', 'down': 'green_car_straight', 'left': 'red_car_turn_left', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['green', 'crosswalk'], ['red']]",[1 1 0 0],"[[2, 3, 1, 4, 2], [1, 2, 4, 3, 1], [2, 1, 3, 2, 4], [1, 4, 2, 1, 3]]"
737,737,"{'right': 'green_car_turn_left', 'down': 'empty', 'left': 'red_car_straight', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['red', 'crosswalk'], ['green']]",[0 0 1 1],"[[1, 1, 2, 3, 4], [2, 4, 3, 1, 2], [1, 2, 1, 4, 3], [2, 3, 4, 2, 1]]"
738,738,"{'right': 'crosswalk', 'down': 'empty', 'left': 'white_car_turn_left', 'up': 'red_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red'], ['white']]",[1 0 0 0],"[[2, 3, 1, 1, 4], [1, 4, 1, 3, 1], [2, 1, 3, 4, 1], [1, 1, 4, 1, 3]]"
739,739,"{'right': 'empty', 'down': 'crosswalk', 'left': 'green_car_straight', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'green']]",[0 1 1 0],"[[0, 4, 2, 4, 3], [0, 3, 4, 4, 2], [0, 2, 4, 3, 4], [0, 4, 3, 2, 4]]"
740,740,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'red_car_straight', 'up': 'white_car_turn_right', 'priority_ruling': 'none_no'}","[['green', 'white'], ['red']]",[0 1 0 1],"[[0, 4, 2, 0, 0], [0, 0, 0, 4, 2], [0, 2, 4, 0, 0], [0, 0, 0, 2, 4]]"
741,741,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'crosswalk', 'up': 'red_car_turn_right', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'green'], ['red']]",[0 1 1 0],"[[2, 4, 3, 0, 2], [1, 2, 0, 4, 3], [2, 3, 4, 2, 0], [1, 0, 2, 3, 4]]"
742,742,"{'right': 'green_car_straight', 'down': 'empty', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['green']]",[0 0 1 0],"[[1, 2, 3, 4, 4], [2, 4, 4, 2, 3], [1, 3, 2, 4, 4], [2, 4, 4, 3, 2]]"
743,743,"{'right': 'green_car_turn_left', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['green', 'red', 'crosswalk']]",[1 1 0 1],"[[0, 1, 4, 3, 0], [0, 0, 3, 1, 4], [0, 4, 1, 0, 3], [0, 3, 0, 4, 1]]"
744,744,"{'right': 'red_car_turn_right', 'down': 'crosswalk', 'left': 'white_car_straight', 'up': 'green_car_straight', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red'], ['green'], ['white']]",[1 1 0 0],"[[2, 0, 2, 2, 3], [1, 3, 2, 0, 2], [2, 2, 0, 3, 2], [1, 2, 3, 2, 0]]"
745,745,"{'right': 'empty', 'down': 'red_car_turn_right', 'left': 'green_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['red', 'green', 'crosswalk']]",[0 1 1 1],"[[0, 4, 0, 3, 0], [0, 0, 3, 4, 0], [0, 0, 4, 0, 3], [0, 3, 0, 0, 4]]"
746,746,"{'right': 'green_car_turn_right', 'down': 'crosswalk', 'left': 'red_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['green', 'crosswalk'], ['red']]",[1 1 0 0],"[[0, 0, 1, 4, 3], [0, 3, 4, 0, 1], [0, 1, 0, 3, 4], [0, 4, 3, 1, 0]]"
747,747,"{'right': 'empty', 'down': 'white_car_straight', 'left': 'crosswalk', 'up': 'green_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['white', 'crosswalk'], ['green']]",[0 1 1 0],"[[2, 4, 3, 1, 2], [1, 2, 1, 4, 3], [2, 3, 4, 2, 1], [1, 1, 2, 3, 4]]"
748,748,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'white_car_straight', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['white', 'crosswalk'], ['green']]",[0 0 1 1],"[[1, 4, 2, 3, 0], [2, 0, 3, 4, 2], [1, 2, 4, 0, 3], [2, 3, 0, 2, 4]]"
749,749,"{'right': 'green_car_turn_left', 'down': 'red_car_turn_right', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['white', 'green'], ['red']]",[1 0 1 0],"[[1, 1, 1, 4, 0], [2, 0, 4, 1, 1], [1, 1, 1, 0, 4], [2, 4, 0, 1, 1]]"
750,750,"{'right': 'crosswalk', 'down': 'white_car_straight', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'white']]",[1 1 0 0],"[[1, 3, 4, 4, 2], [2, 2, 4, 3, 4], [1, 4, 3, 2, 4], [2, 4, 2, 4, 3]]"
751,751,"{'right': 'red_car_turn_right', 'down': 'crosswalk', 'left': 'empty', 'up': 'green_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['red', 'crosswalk', 'green']]",[1 1 0 1],"[[2, 0, 4, 0, 3], [1, 3, 0, 0, 4], [2, 4, 0, 3, 0], [1, 0, 3, 4, 0]]"
752,752,"{'right': 'empty', 'down': 'red_car_turn_left', 'left': 'crosswalk', 'up': 'white_car_turn_right', 'priority_ruling': 'none_no'}","[['crosswalk'], ['white'], ['red']]",[0 0 1 0],"[[0, 4, 3, 0, 1], [0, 1, 0, 4, 3], [0, 3, 4, 1, 0], [0, 0, 1, 3, 4]]"
753,753,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'white_car_turn_left', 'up': 'red_car_turn_right', 'priority_ruling': 'none_no'}","[['red'], ['green'], ['white']]",[0 0 0 1],"[[0, 4, 1, 0, 1], [0, 1, 0, 4, 1], [0, 1, 4, 1, 0], [0, 0, 1, 1, 4]]"
754,754,"{'right': 'green_car_straight', 'down': 'red_car_straight', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['red'], ['green']]",[0 1 0 0],"[[2, 2, 4, 4, 2], [1, 2, 4, 2, 4], [2, 4, 2, 2, 4], [1, 4, 2, 4, 2]]"
755,755,"{'right': 'red_car_straight', 'down': 'green_car_turn_right', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'green'], ['red']]",[0 1 1 0],"[[2, 2, 3, 4, 0], [1, 0, 4, 2, 3], [2, 3, 2, 0, 4], [1, 4, 0, 3, 2]]"
756,756,"{'right': 'crosswalk', 'down': 'empty', 'left': 'white_car_turn_left', 'up': 'green_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['crosswalk', 'white', 'green']]",[1 0 1 1],"[[1, 3, 1, 0, 4], [2, 4, 0, 3, 1], [1, 1, 3, 4, 0], [2, 0, 4, 1, 3]]"
757,757,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_straight', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk', 'red']]",[0 1 1 0],"[[2, 4, 2, 4, 3], [1, 3, 4, 4, 2], [2, 2, 4, 3, 4], [1, 4, 3, 2, 4]]"
758,758,"{'right': 'green_car_turn_left', 'down': 'crosswalk', 'left': 'white_car_turn_left', 'up': 'red_car_straight', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red'], ['green', 'white']]",[0 1 0 0],"[[2, 1, 1, 2, 3], [1, 3, 2, 1, 1], [2, 1, 1, 3, 2], [1, 2, 3, 1, 1]]"
759,759,"{'right': 'empty', 'down': 'crosswalk', 'left': 'red_car_straight', 'up': 'white_car_straight', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['white'], ['red']]",[0 1 0 0],"[[2, 4, 2, 2, 3], [1, 3, 2, 4, 2], [2, 2, 4, 3, 2], [1, 2, 3, 2, 4]]"
760,760,"{'right': 'red_car_turn_left', 'down': 'white_car_turn_right', 'left': 'green_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'red'], ['green'], ['white']]",[1 0 0 1],"[[1, 1, 1, 3, 0], [2, 0, 3, 1, 1], [1, 1, 1, 0, 3], [2, 3, 0, 1, 1]]"
761,761,"{'right': 'red_car_turn_right', 'down': 'crosswalk', 'left': 'green_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['red', 'crosswalk'], ['green']]",[1 1 0 0],"[[0, 0, 1, 4, 3], [0, 3, 4, 0, 1], [0, 1, 0, 3, 4], [0, 4, 3, 1, 0]]"
762,762,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'crosswalk', 'up': 'red_car_turn_left', 'priority_ruling': 'none_no'}","[['green', 'crosswalk'], ['red']]",[0 1 1 0],"[[0, 4, 3, 1, 2], [0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 3, 4]]"
763,763,"{'right': 'white_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'red_car_straight', 'priority_ruling': 'triangles_horizontal'}","[['red'], ['white']]",[0 0 0 1],"[[2, 2, 4, 2, 4], [1, 4, 2, 2, 4], [2, 4, 2, 4, 2], [1, 2, 4, 4, 2]]"
764,764,"{'right': 'green_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['red'], ['green']]",[0 0 0 1],"[[2, 2, 4, 1, 4], [1, 4, 1, 2, 4], [2, 4, 2, 4, 1], [1, 1, 4, 4, 2]]"
765,765,"{'right': 'white_car_turn_left', 'down': 'empty', 'left': 'crosswalk', 'up': 'green_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['green'], ['white']]",[0 0 1 0],"[[2, 1, 3, 0, 4], [1, 4, 0, 1, 3], [2, 3, 1, 4, 0], [1, 0, 4, 3, 1]]"
766,766,"{'right': 'empty', 'down': 'white_car_straight', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'none_no'}","[['white'], ['red']]",[0 1 0 0],"[[0, 4, 4, 1, 2], [0, 2, 1, 4, 4], [0, 4, 4, 2, 1], [0, 1, 2, 4, 4]]"
767,767,"{'right': 'white_car_straight', 'down': 'crosswalk', 'left': 'red_car_straight', 'up': 'empty', 'priority_ruling': 'none_no'}","[['white', 'crosswalk', 'red']]",[1 1 1 0],"[[0, 2, 2, 4, 3], [0, 3, 4, 2, 2], [0, 2, 2, 3, 4], [0, 4, 3, 2, 2]]"
768,768,"{'right': 'red_car_turn_left', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['red', 'green']]",[1 1 0 0],"[[1, 1, 4, 4, 0], [2, 0, 4, 1, 4], [1, 4, 1, 0, 4], [2, 4, 0, 4, 1]]"
769,769,"{'right': 'white_car_turn_left', 'down': 'empty', 'left': 'red_car_straight', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['red'], ['white']]",[0 0 1 0],"[[1, 1, 2, 4, 4], [2, 4, 4, 1, 2], [1, 2, 1, 4, 4], [2, 4, 4, 2, 1]]"
770,770,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'green_car_straight', 'up': 'red_car_straight', 'priority_ruling': 'stop_vertical'}","[['green'], ['red'], ['white']]",[0 0 1 0],"[[1, 4, 2, 2, 1], [2, 1, 2, 4, 2], [1, 2, 4, 1, 2], [2, 2, 1, 2, 4]]"
771,771,"{'right': 'empty', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'green_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['green'], ['white']]",[0 0 0 1],"[[2, 4, 0, 1, 4], [1, 4, 1, 4, 0], [2, 0, 4, 4, 1], [1, 1, 4, 0, 4]]"
